epoch,app_cpu_pct,postgres_cpu_pct,app_mem,postgres_mem,host_idle_pct
1785176419,243.53,212.90,438.4MiB,341MiB,38.25
1785176424,219.13,188.18,438.4MiB,341.2MiB,60.10
1785176429,244.62,201.03,438.8MiB,341.3MiB,44.53
1785176434,50.05,43.53,438.5MiB,341.3MiB,62.42
1785176439,213.75,190.84,438.9MiB,341.6MiB,43.24
1785176444,236.95,208.71,438.8MiB,341.4MiB,37.09
1785176449,128.06,111.84,438.9MiB,342MiB,61.64
1785176454,169.33,145.08,438.4MiB,341.9MiB,37.44
1785176459,212.15,185.82,438.9MiB,342.1MiB,42.75
1785176464,261.16,222.87,438.9MiB,342.6MiB,37.63
1785176469,142.54,119.08,438.7MiB,342.7MiB,55.81
1785176474,49.97,42.47,440.5MiB,342.3MiB,53.96
1785176479,265.02,221.86,438.6MiB,342.7MiB,45.41
1785176484,230.89,197.89,438.9MiB,343MiB,39.80
1785176490,267.17,231.43,439.1MiB,342.9MiB,33.38
1785176495,70.61,63.08,440.6MiB,343.7MiB,57.49
1785176500,205.36,185.00,438.7MiB,343.4MiB,44.73
1785176505,226.70,195.94,439.1MiB,343.4MiB,40.10
1785176510,99.42,83.08,439MiB,344.1MiB,56.31
1785176515,56.11,68.18,439.3MiB,343.8MiB,64.02
1785176520,173.06,148.74,439.1MiB,343.8MiB,65.70
1785176525,187.37,163.38,438.9MiB,343.9MiB,30.43
1785176530,211.40,185.58,439MiB,344.3MiB,44.09
1785176535,230.19,202.79,439.2MiB,344.4MiB,38.81
1785176540,149.89,123.27,439.2MiB,344.2MiB,98.25
1785176545,0.69,0.14,437.6MiB,343.5MiB,97.24
1785176550,0.72,0.52,438.2MiB,344.9MiB,85.71
1785176555,0.64,0.14,454.1MiB,343.6MiB,96.62
1785176560,352.53,7.44,244.7MiB,330.6MiB,96.12
1785176565,1.29,0.12,286.5MiB,412.1MiB,98.62
1785176571,3.07,13.53,285.6MiB,417.8MiB,97.27
1785176576,614.49,172.52,365.7MiB,428.1MiB,5.73
1785176581,259.79,179.21,420.4MiB,428.3MiB,45.09
1785176586,246.30,191.04,416.4MiB,428.8MiB,40.65
1785176591,91.84,81.93,416.9MiB,428.8MiB,55.54
1785176596,79.27,47.61,417.1MiB,428.8MiB,62.50
1785176601,157.52,135.96,417MiB,428.9MiB,66.37
1785176606,41.12,91.86,417.3MiB,429.1MiB,33.12
1785176611,212.61,187.81,416.9MiB,429.2MiB,46.46
1785176616,219.66,194.56,417.5MiB,429.5MiB,42.88
1785176621,246.41,210.03,417.5MiB,429.7MiB,38.50
1785176626,75.14,68.73,417.4MiB,430.2MiB,59.51
1785176631,49.85,47.22,417.8MiB,430.2MiB,69.66
1785176636,39.24,129.06,417.9MiB,431.4MiB,40.21
1785176641,335.47,324.64,418.3MiB,448.9MiB,14.25
1785176646,171.30,161.22,425.9MiB,471MiB,46.19
1785176651,208.40,214.02,426.5MiB,481.4MiB,39.09
1785176656,379.25,360.74,458.8MiB,480.1MiB,6.55
1785176661,365.83,247.75,497.3MiB,482.8MiB,43.25
1785176666,184.68,180.28,497MiB,484.4MiB,31.55
1785176671,173.15,172.99,497.7MiB,481MiB,39.04
1785176676,162.62,156.64,497.4MiB,481.4MiB,45.58
1785176681,158.44,152.03,497.9MiB,481.3MiB,44.87
1785176686,118.22,117.21,498.1MiB,483.6MiB,50.50
1785176691,340.46,325.60,498.3MiB,482.1MiB,7.60
1785176696,381.70,368.06,498.3MiB,482.6MiB,5.76
1785176701,205.46,207.67,498.2MiB,484.9MiB,27.25
1785176707,198.66,195.13,498.1MiB,487.7MiB,42.68
1785176712,372.38,353.68,498.3MiB,484MiB,7.11
1785176717,216.13,154.58,498.2MiB,484.7MiB,32.23
1785176722,198.59,195.26,498.1MiB,487.8MiB,37.61
1785176727,387.16,356.27,498MiB,484.6MiB,7.26
1785176732,382.01,312.95,498.6MiB,485.7MiB,27.85
